GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G53153","2010","53153",1580.05,1556,1643,1814.98,1796,1878,2328,2376.88,2135,2479
"G53154","2010","53154",19511.95,18655,19525,28455.06,27682,28456,34451,36496.77,36474,36497
"G53156","2010","53156",2719.00,2660,2719,2978.00,2948,2978,2992,3007.00,3003,3007
"G53158","2010","53158",8346.28,6974,9740,11890.21,9932,13056,15917,17592.55,17377,17816
"G53167","2010","53167",464.00,446,464,449.00,449,449,399,388.83,356,400
"G53168","2010","53168",6743.11,6185,7485,7904.88,7722,8322,8643,8745.10,8557,9397
"G53170","2010","53170",1763.15,1609,1996,2295.66,2065,2354,2380,2367.19,2212,2461
"G53172","2010","53172",20958.00,20958,20958,21256.00,21256,21256,21156,20795.00,20795,20795
"G53177","2010","53177",5745.16,5531,5806,7233.07,7036,7302,8329,8477.11,8179,9091
"G53178","2010","53178",2336.30,2213,2662,2712.51,2707,2786,2626,2672.84,2660,2680
"G53179","2010","53179",3231.46,2504,3361,5016.61,4490,5137,6310,6292.08,5891,6397
"G53181","2010","53181",5201.12,4425,5377,6531.04,5759,6724,7357,7639.60,7454,7824
"G53182","2010","53182",7736.95,7254,8471,8838.73,8440,9629,9412,9535.83,9196,10237
"G53183","2010","53183",2671.73,2084,3503,2914.37,2702,3236,2815,3120.17,2532,3518
"G53184","2010","53184",2785.64,2579,2916,3826.52,3416,3958,4271,4043.39,3809,4467
"G53185","2010","53185",11485.77,10843,11728,16751.56,16411,16979,18551,18776.13,18486,18926
"G53186","2010","53186",30525.87,30416,30934,33304.63,32947,33390,33592,32371.35,32081,32539
"G53188","2010","53188",29548.72,27747,30831,33564.31,32144,34353,35195,35809.90,35423,36350
"G53189","2010","53189",18454.91,16997,19019,22075.39,21384,22740,26228,26735.71,26090,27669
"G53190","2010","53190",17174.61,16978,17291,18277.13,18173,18364,19200,19538.61,19414,19701
"G53191","2010","53191",2348.86,1806,2417,2731.52,2308,2785,2842,3254.85,2942,3339
"G53192","2010","53192",235.93,143,746,237.56,144,735,217,191.19,101,257
"G53195","2010","53195",115.00,115,115,105.00,105,105,114,120.00,100,120
"G53202","2010","53202",20311.00,20311,20311,20967.00,20967,20967,23386,27877.00,27877,27948
"G53203","2010","53203",456.00,456,456,335.00,335,335,938,2143.84,2141,2171
"G53204","2010","53204",39855.00,39360,40225,42034.09,41483,42444,42355,39948.91,39385,40155
"G53205","2010","53205",14009.66,13258,14978,10414.80,10016,10902,10050,9288.00,9286,9288
"G53206","2010","53206",41349.13,40802,41840,32810.72,32408,33151,28210,23008.09,22876,23138
"G53207","2010","53207",39452.44,38866,39860,36317.42,35704,36713,35149,34385.34,34213,34652
"G53208","2010","53208",42248.30,41954,42749,35110.94,34799,35656,31133,29283.80,29087,29553
"G53209","2010","53209",51003.51,49608,52644,49039.45,48220,50027,46917,44469.66,43653,44817
"G53210","2010","53210",32582.63,32261,33005,30587.62,30296,30978,28126,25430.19,25304,25651
"G53211","2010","53211",36869.31,36821,36903,35059.55,35013,35092,35406,36346.67,36226,36347
